Filme,País,Quem Assistiu,Ano,Duração
The Nightmare Before Christmas,EUA,"M, B",1993,76
I Saw The TV Glow,EUA,"M, B",2024,100
Tetris,Reino Unido,M,2023,118
Brothers,EUA,M,2009,105
Que Horas Ela Volta?,Brasil,B,2015,112
Memento,EUA,B,2000,113
"Good Morning, Vietnam",EUA,M,1987,121
Les Yeux sans visage,França,B,1960,84
Get Out,EUA,M,2017,104
Brokeback Mountain,EUA,B,2005,134
Pokemon Detective Pikachu,EUA,M,2019,105
Nattvardsgästerna,Suécia,B,1963,80
Tron,EUA,M,1982,96
Central do Brasil,Brasil,B,1998,113
500 Days of Summer,EUA,M,2009,95
Сталкер,URSS,B,1979,162
I Am Legend,EUA,M,2007,101
The Substance,Reino Unido,B,2024,141
Kill Bill: Vol. 1,EUA,M,2003,111
Kill Bill: Vol. 2,EUA,M,2004,136
Judas and the Black Messiah,EUA,B,2021,126
Rio 40 Graus,Brasil,B,1955,91
Lars and the Real Girl,EUA,M,2007,106
Bir Zamanlar Anadolu'da,Turquia,B,2011,163
Tom Clancy’s Without Remorse,EUA,M,2021,109
Nimona,Reino Unido,M,2023,99
Puss in Boots: The Last Wish,EUA,B,2022,103
Scarface,EUA,B,1983,169
Blue Valentine,EUA,M,2010,112
La Noire de...,Senegal,B,1966,65
Dallas Buyers Club,EUA,M,2013,117
But I’m a Cheerleader,EUA,B,1999,85
Sicario,EUA,M,2015,122
Ostře sledované vlaky,Czechoslovakia,B,1966,93
Sedmikrásky,Czechoslovakia,B,1966,76
HER,EUA,M,2013,126
Casino Royale,Reino Unido,M,2006,144
Quantum of Solace,Reino Unido,M,2008,106
Familia sumergida,Argentina,B,2018,91
Pink Flamingos,EUA,B,1972,93
The Unbearable Weight of Massive Talent,EUA,M,2022,107
The Grand Budapest Hotel,EUA,"M, B",2014,100
Moonlight,EUA,B,2016,111
Skyfall ,Reino Unido,M,2012,143
Vanskabte land,Islândia,B,2022,143
Goodfellas,EUA,B,1990,145
Spectre,Reino Unido,M,2015,148
No Time to Die,Reino Unido,M,2021,163
Das Cabinet des Dr. Caligari,Alemanha,B,1920,78
Monty Python and the Holy Grail,Reino Unido,M,1975,91
기생충,Coreia do Sul,B,2019,133
Donnie Darko,EUA,"M, B",2001,114
Drive,EUA,B,2011,100
Django Unchained,EUA,B,2012,165
Mortal Kombat,EUA,M,2021,110
Солярис,URSS,B,1972,167
The Lighthouse,EUA,M,2019,109
