Filme,País,Ano,Tempo,Meu_Rating,Outlier_t,Genero,Animação,Rating_Geral
Washerwomen on the River,FRA,1897,1,NA,1,Documentário,0,3.6
The Cavalier’s Dream,USA,1898,1,3,1,Fantasia,0,2.9
Opium Den,FRA,1899,1,4,1,Documentário,0,3.3
Enfants annamites ramassant des sapèques devant la Pagode des Dames,FRA,1899,1,NA,1,Documentário,0,2.8
Le village de Namo - Panorama pris d’une chaise à porteurs,FRA,1900,1,NA,1,Documentário,0,3.4
Le Voyage dans la Lune,FRA,1902,15,4,1,Sci-fi,0,4
The Great Train Robbery,USA,1903,12,4,1,Western,0,3.5
The ‘?’ Motorist,GBR,1906,3,5,1,Fantasia,0,3.5
Os Óculos do Vovô,BRA,1913,5,5,1,Comédia,0,3.2
Эффект Кулешова,URSS,1919,1,NA,1,Drama,0,3.6
Das Cabinet des Dr. Caligari,GER,1920,78,5,0,Crime,0,4.1
Nosferatu,GER,1922,95,3.5,0,Terror,0,3.9
Кино-Правда № 1,URSS,1922,11,3.5,1,Documentário,0,3.4
Кино-Правда № 2,URSS,1922,11,NA,1,Documentário,0,3.3
Кино-Правда № 3,URSS,1922,8,NA,1,Documentário,0,NA
Кино-Правда № 4,URSS,1922,10,NA,1,Documentário,0,NA
Кино-Правда № 5,URSS,1922,9,NA,1,Documentário,0,NA
Кино-Правда № 6,URSS,1922,7,4.5,1,Documentário,0,NA
Кино-Правда № 7,URSS,1922,11,3,1,Documentário,0,NA
Кино-Правда № 8,URSS,1922,15,3.5,1,Documentário,0,NA
Кино-Правда № 9,URSS,1922,14,NA,1,Documentário,0,NA
Кино-Правда № 10,URSS,1922,16,NA,1,Documentário,0,NA
Кино-Правда № 11,URSS,1922,18,NA,1,Documentário,0,NA
Кино-Правда № 13,URSS,1922,37,4.5,1,Documentário,0,NA
Кино-Правда № 14,URSS,1923,14,NA,1,Documentário,0,NA
Кино-Правда № 15,URSS,1923,22,NA,1,Documentário,0,NA
Кино-Правда № 16,URSS,1923,26,4,1,Documentário,0,NA
Кино-Правда № 17,URSS,1923,16,3.5,1,Documentário,0,NA
Аэлита,URSS,1924,111,3,0,Sci-fi,0,3.2
Sherlock Jr.,USA,1924,45,5,1,Comédia,0,4.4
Киноглаз,URSS,1924,78,4,0,Documentário,0,3.7
Человек с киноаппаратом,URSS,1929,68,4.5,0,Documentário,0,4.3
Un Chien Andalou,FRA,1929,16,3,1,Terror,0,3.9
Три песни о Ленине,URSS,1934,62,4,0,Documentário,0,3.5
Modern Times,USA,1936,87,5,0,Comédia,0,4.3
Snow White and the Seven Dwarfs,USA,1937,83,5,0,Fantasia,1,3.4
Александр Невский,URSS,1938,109,5,0,Guerra,0,3.7
The Wizard of Oz,USA,1939,102,4,0,Aventura,0,4
Fantasia,USA,1940,124,NA,0,Fantasia,1,3.9
Pinocchio,USA,1940,88,3,0,Fantasia,1,3.5
Dumbo,USA,1941,64,3.5,0,Fantasia,1,3.4
Bambi,USA,1942,70,3,0,Drama,1,3.5
Иван Грозный,URSS,1944,100,4.5,0,História,0,3.9
Иван Грозный. Сказ второй: Боярский заговор,URSS,1946,82,5,0,História,0,4.0
Revolution in Toyland,CSK,1947,14,5,1,Comédia,1,3.7
Ninguém Crê em Mim,USA,1949,73,4.5,0,Thriller,0,3.6
Le sang des bêtes,FRA,1949,23,4.5,1,Documentário,0,3.9
Cinderella,USA,1950,74,4,0,Fantasia,1,3.5
Alice in Wonderland,USA,1951,75,4.5,0,Fantasia,1,3.8
Peter Pan,USA,1953,77,4,0,Fantasia,1,3.5
